图像,花粉种类,数量
img_r001_c001.jpg,azs,3
img_r001_c001.jpg,not_pollen,2
img_r001_c001.jpg,qxlm,2
img_r001_c001.jpg,sb,1
img_r001_c001.jpg,bjys,2
img_r001_c002.jpg,bjys,3
img_r001_c002.jpg,azs,2
img_r001_c002.jpg,yb,2
img_r001_c002.jpg,qxlm,1
img_r001_c002.jpg,not_pollen,3
img_r001_c003.jpg,qxlm,1
img_r001_c003.jpg,azs,7
img_r001_c003.jpg,not_pollen,2
img_r001_c003.jpg,ys2,2
img_r001_c004.jpg,bjys,1
img_r001_c004.jpg,azs,3
img_r001_c004.jpg,sb,1
img_r001_c004.jpg,not_pollen,4
img_r001_c004.jpg,qxlm,5
img_r001_c004.jpg,yb,1
img_r001_c004.jpg,ys2,1
汇总,azs,15
汇总,not_pollen,11
汇总,qxlm,9
汇总,sb,2
汇总,bjys,6
汇总,yb,3
汇总,ys2,3
